CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE
50018268,MCDONALD'S,Staten Island,1815,FOREST AVENUE,10303,7187206907,American,06/13/2017,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,32,,,06/28/2020,Cycle Inspection / Initial Inspection
41023695,MCDONALD'S,Queens,11905,LIBERTY AVENUE,11419,7188438777,Hamburgers,07/25/2019,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Y,18,,,06/28/2020,Cycle Inspection / Initial Inspection
50087109,MCDONALD'S,Manhattan,688,8 AVENUE,10036,2122213863,Hamburgers,07/02/2019,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,N,13,A,07/02/2019,06/28/2020,Pre-permit (Operational) / Re-inspection
40548768,MCDONALD'S,Manhattan,4259,BROADWAY,10033,9175210827,Hamburgers,08/24/2017,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Y,5,A,08/24/2017,06/28/2020,Cycle Inspection / Re-inspection
41262497,MCDONALD'S,Manhattan,2049,BROADWAY,10023,2127240435,Hamburgers,07/25/2018,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Y,20,,,06/28/2020,Cycle Inspection / Initial Inspection
40592181,MCDONALD'S,Bronx,1515,WILLIAMSBRIDGE ROAD,10461,7184091670,Hamburgers,10/07/2016,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,12,A,10/07/2016,06/28/2020,Cycle Inspection / Initial Inspection
40367829,MCDONALD'S,Queens,7550,101 AVENUE,11416,7188451010,Hamburgers,04/13/2017,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,23,,,06/28/2020,Cycle Inspection / Initial Inspection
50014406,MCDONALD'S,Brooklyn,357,HAMILTON AVENUE,11231,7186246688,Hamburgers,01/16/2018,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,3,A,01/16/2018,06/28/2020,Cycle Inspection / Initial Inspection
40369782,MCDONALD'S,Brooklyn,701,UTICA AVENUE,11203,7187780023,Hamburgers,04/22/2019,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,8,A,04/22/2019,06/28/2020,Cycle Inspection / Initial Inspection
41450629,MCDONALD'S,Brooklyn,1133,EASTERN PARKWAY,11213,7184930800,Hamburgers,08/30/2016,Violations were cited in the following area(s).,10A,"Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.",N,9,A,08/30/2016,06/28/2020,Cycle Inspection / Re-inspection
50050674,MCDONALD'S RESTAURANT,Bronx,1600,BOSTON ROAD,10460,7185427915,Sandwiches/Salads/Mixed Buffet,02/28/2018,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,19,,,06/28/2020,Cycle Inspection / Initial Inspection
50001148,MCDONALD'S,Manhattan,148,WEST  125 STREET,10027,6467904636,Hamburgers,08/09/2017,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,N,6,A,08/09/2017,06/28/2020,Cycle Inspection / Re-inspection
40592181,MCDONALD'S,Bronx,1515,WILLIAMSBRIDGE ROAD,10461,7184091670,Hamburgers,12/29/2017,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,11,,,06/28/2020,Cycle Inspection / Initial Inspection
40395525,MCDONALD AVENUE DINER,Brooklyn,1111,MCDONALD AVENUE,11230,7189518475,American,05/29/2018,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Y,30,,,06/28/2020,Cycle Inspection / Initial Inspection
40367829,MCDONALD'S,Queens,7550,101 AVENUE,11416,7188451010,Hamburgers,05/17/2019,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Y,13,A,05/17/2019,06/28/2020,Cycle Inspection / Initial Inspection
50094169,GHOROA RESTAURANT,Brooklyn,478,MCDONALD AVENUE,11218,7184386001,Bangladeshi,08/28/2019,Violations were cited in the following area(s).,10D,"Mechanical or natural ventilation system not provided, improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.",N,6,A,08/28/2019,06/28/2020,Pre-permit (Operational) / Re-inspection
40800557,MCDONALD'S,Manhattan,160,BROADWAY,10038,2123852063,Hamburgers,04/03/2017,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,9,A,04/03/2017,06/28/2020,Cycle Inspection / Initial Inspection
41379274,DADDY'S CAFE,Brooklyn,1939,MCDONALD AVENUE,11223,7189985940,American,12/16/2019,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Y,9,A,12/16/2019,06/28/2020,Cycle Inspection / Initial Inspection
50068986,MCDONALD'S #3880,Brooklyn,3525,FORT HAMILTON PARKWAY,11218,7735058724,American,03/29/2018,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,5,A,03/29/2018,06/28/2020,Cycle Inspection / Initial Inspection
41268295,MCDONALD'S,Queens,8003,QUEENS BOULEVARD,11373,7184781204,American,02/14/2019,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,59,,,06/28/2020,Cycle Inspection / Initial Inspection
50087016,MCDONALD'S,Manhattan,686,6 AVENUE,10010,2126040621,American,09/09/2019,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,38,,,06/28/2020,Cycle Inspection / Initial Inspection
41155817,MCDONALD'S,Staten Island,501,BAY STREET,10304,7182736688,Hamburgers,02/28/2017,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,N,8,A,02/28/2017,06/28/2020,Cycle Inspection / Re-inspection
41611084,MCDONALD'S,Manhattan,3809,BROADWAY,10032,2125687903,American,01/06/2017,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,13,A,01/06/2017,06/28/2020,Cycle Inspection / Initial Inspection
50091429,LOS CHOCOMILES,Brooklyn,976,MCDONALD AVENUE,11230,9292108535,Mexican,11/21/2019,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,N,22,,,06/28/2020,Cycle Inspection / Initial Inspection
50007421,MCDONALD'S,Brooklyn,1467,ROCKAWAY PARKWAY,11236,2019543134,American,02/28/2018,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,6,A,02/28/2018,06/28/2020,Cycle Inspection / Initial Inspection
41629298,MCDONALD'S,Manhattan,167,CHAMBERS STREET,10007,2126082405,American,04/20/2018,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,N,6,A,04/20/2018,06/28/2020,Cycle Inspection / Initial Inspection
50062665,MCDONALD'S,Queens,000,"AMERICAN AIR,JFK AIRPORT TERMINAL 8",11430,6465334694,American,05/16/2019,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,8,A,05/16/2019,06/28/2020,Cycle Inspection / Initial Inspection
41696220,MCDONALD'S,Queens,9101,JAMAICA AVENUE,11421,7188491979,American,09/26/2019,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,N,6,A,09/26/2019,06/28/2020,Cycle Inspection / Re-inspection
41500338,MCDONALD'S,Queens,15901,JAMAICA AVENUE,11432,7185263725,Hamburgers,03/09/2018,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Y,8,A,03/09/2018,06/28/2020,Cycle Inspection / Initial Inspection
41619708,LOUNGE BAR CAVE,Brooklyn,2320,MCDONALD AVENUE,11223,3479151515,American,05/30/2019,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,9,A,05/30/2019,06/28/2020,Cycle Inspection / Initial Inspection
50042441,MCDONALD'S,Brooklyn,2154,NOSTRAND AVENUE,11210,7184342476,Hamburgers,03/01/2018,Violations were cited in the following area(s).,10I,"Single service item reused, improperly stored, dispensed; not used when required.",N,7,A,03/01/2018,06/28/2020,Cycle Inspection / Initial Inspection
50070471,MCDONALDS # 18093,Manhattan,354,WEST  125 STREET,10027,2128642848,Hamburgers,01/02/2020,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,9,A,01/02/2020,06/28/2020,Cycle Inspection / Initial Inspection
50050670,MCDONALD'S,Bronx,839,WESTCHESTER AVENUE,10455,7183284936,American,03/21/2019,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,10,A,03/21/2019,06/28/2020,Cycle Inspection / Initial Inspection
41023695,MCDONALD'S,Queens,11905,LIBERTY AVENUE,11419,7188438777,Hamburgers,07/25/2019,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,18,,,06/28/2020,Cycle Inspection / Initial Inspection
50087226,MCDONALDS,Bronx,86,EAST  167 STREET,10452,7325159898,Hamburgers,01/27/2020,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,12,A,01/27/2020,06/28/2020,Cycle Inspection / Initial Inspection
41013992,MCDONALD'S,Bronx,1865,BRUCKNER BOULEVARD,10472,7188637289,Hamburgers,07/05/2017,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,N,9,A,07/05/2017,06/28/2020,Cycle Inspection / Initial Inspection
50094803,MEZBANI SWEETS & RESTAURANT,Brooklyn,473,MCDONALD AVENUE,11218,6462627206,Bangladeshi,07/09/2019,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Y,16,,,06/28/2020,Pre-permit (Operational) / Initial Inspection
40401953,MCDONALD'S,Manhattan,237987,ADAM CLAYTON POWELL BOULEVARD,,2122830559,Hamburgers,08/23/2018,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Y,12,A,08/23/2018,06/28/2020,Cycle Inspection / Initial Inspection
50078731,MCDONALD'S,Queens,5404,MYRTLE AVE,11385,7184567287,Hamburgers,07/17/2019,Violations were cited in the following area(s).,10C,"Lighting inadequate; permanent lighting not provided in food preparation areas, ware washing areas, and storage rooms.",N,11,A,07/17/2019,06/28/2020,Cycle Inspection / Initial Inspection
50070066,MCDONALD'S,Manhattan,966,3 AVENUE,10022,2127535360,American,11/16/2018,Violations were cited in the following area(s).,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,N,16,,,06/28/2020,Cycle Inspection / Initial Inspection
50075014,SKYLINE BILLIARD CLUB,Brooklyn,2515,MCDONALD AVENUE,11223,7186273407,American,04/11/2019,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Y,13,A,04/11/2019,06/28/2020,Cycle Inspection / Initial Inspection
50014406,MCDONALD'S,Brooklyn,357,HAMILTON AVENUE,11231,7186246688,Hamburgers,01/22/2020,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,7,A,01/22/2020,06/28/2020,Cycle Inspection / Initial Inspection
50060786,MCDONALD'S,Manhattan,1188,6 AVENUE,10036,2129442720,American,09/24/2019,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,49,,,06/28/2020,Cycle Inspection / Initial Inspection
41258107,MCDONALD'S,Brooklyn,606,NEPTUNE AVENUE,11224,7189468319,Hamburgers,12/27/2017,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Y,16,,,06/28/2020,Cycle Inspection / Initial Inspection
41023695,MCDONALD'S,Queens,11905,LIBERTY AVENUE,11419,7188438777,Hamburgers,11/25/2019,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,11,A,11/25/2019,06/28/2020,Cycle Inspection / Initial Inspection
50078728,MCDONALD'S,Brooklyn,395,FLATBUSH AVENUE EXTENSION,11201,7185224983,American,01/13/2020,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,8,A,01/13/2020,06/28/2020,Cycle Inspection / Initial Inspection
50041875,LAS BANDERAS,Brooklyn,1641,MCDONALD AVENUE,11230,7183762364,Mexican,09/09/2019,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Y,21,B,09/09/2019,06/28/2020,Cycle Inspection / Re-inspection
40794103,MCDONALD'S,Bronx,1600,BRUCKNER BOULEVARD,10473,7186170869,Hamburgers,04/17/2017,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Y,12,A,04/17/2017,06/28/2020,Cycle Inspection / Initial Inspection
40369782,MCDONALD'S,Brooklyn,701,UTICA AVENUE,11203,7187780023,Hamburgers,07/21/2017,Violations were cited in the following area(s).,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,N,21,,,06/28/2020,Cycle Inspection / Initial Inspection
41215997,MCDONALD'S,Bronx,36,WEST FORDHAM ROAD,10468,7189332183,Hamburgers,11/01/2017,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Y,38,,,06/28/2020,Cycle Inspection / Initial Inspection
50011959,PICADILLY HALL,Brooklyn,1703,MCDONALD AVENUE,11230,7183362200,Jewish/Kosher,06/12/2019,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Y,22,,,06/28/2020,Cycle Inspection / Initial Inspection
50010326,MCDONALD'S,Queens,5135,NORTHERN BLVD,11377,7185453287,Hamburgers,04/25/2017,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Y,7,A,04/25/2017,06/28/2020,Cycle Inspection / Initial Inspection
40369782,MCDONALD'S,Brooklyn,701,UTICA AVENUE,11203,7187780023,Hamburgers,07/21/2017,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,21,,,06/28/2020,Cycle Inspection / Initial Inspection
50044988,MCDONALD'S,Brooklyn,741,GRAND STREET,11211,7183025024,American,07/01/2019,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Y,12,A,07/01/2019,06/28/2020,Cycle Inspection / Re-inspection
41629291,MCDONALD'S,Manhattan,213,MADISON STREET,10002,2126191848,American,02/23/2018,Violations were cited in the following area(s).,10I,"Single service item reused, improperly stored, dispensed; not used when required.",N,10,A,02/23/2018,06/28/2020,Cycle Inspection / Initial Inspection
50070198,CARAVAN,Brooklyn,1797,MCDONALD AVENUE,11230,7183757777,Russian,03/06/2018,Violations were cited in the following area(s).,09B,Thawing procedures improper.,N,4,A,03/06/2018,06/28/2020,Pre-permit (Operational) / Re-inspection
50010321,MCDONALD'S,Queens,31-67,STEINWAY STREET,11103,7182671343,Hamburgers,09/12/2017,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,13,A,09/12/2017,06/28/2020,Cycle Inspection / Initial Inspection
41211622,MCDONALD'S,Manhattan,2726,BROADWAY,10025,2122228714,Hamburgers,08/16/2016,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,11,,,06/28/2020,Cycle Inspection / Initial Inspection
40538662,MCDONALD'S,Manhattan,4040,BROADWAY,10032,2129239582,Hamburgers,02/06/2018,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,N,12,A,02/06/2018,06/28/2020,Cycle Inspection / Initial Inspection
50098859,CABANA RESTAURANT,Brooklyn,1836,MCDONALD AVENUE,11223,7189758669,Italian,01/31/2020,Violations were cited in the following area(s).,09B,Thawing procedures improper.,N,24,N,,06/28/2020,Pre-permit (Operational) / Initial Inspection
50046747,MCDONALD'S,Brooklyn,428,KNICKERBOCKER AVENUE,11237,7189197660,American,07/21/2017,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Y,11,,,06/28/2020,Cycle Inspection / Initial Inspection
40643227,MCDONALD'S,Queens,138-32,JAMAICA AVENUE,11435,7185588665,Hamburgers,04/20/2018,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,N,20,,,06/28/2020,Cycle Inspection / Initial Inspection
50087090,MCDONALD'S,Manhattan,151,WEST   34 STREET,10001,9173875436,Hamburgers,03/20/2019,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Y,26,,,06/28/2020,Pre-permit (Operational) / Initial Inspection
50041069,MCDONALD'S,Manhattan,1651,BROADWAY,10019,2125865530,American,02/26/2018,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Y,10,A,02/26/2018,06/28/2020,Cycle Inspection / Initial Inspection
50037580,MCDONALD'S,Bronx,5765,BROADWAY,10463,7187964447,American,06/08/2018,Violations were cited in the following area(s).,04F,"Food, food preparation area, food storage area, area used by employees or patrons, contaminated by sewage or liquid waste.",Y,38,,,06/28/2020,Cycle Inspection / Initial Inspection
50045356,MCDONALD'S,Manhattan,1872,3 AVENUE,10029,2129962864,American,09/17/2019,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,N,13,A,09/17/2019,06/28/2020,Cycle Inspection / Re-inspection
40369782,MCDONALD'S,Brooklyn,701,UTICA AVENUE,11203,7187780023,Hamburgers,07/21/2017,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Y,21,,,06/28/2020,Cycle Inspection / Initial Inspection
50087020,MCDONALD'S,Queens,3146,21ST ST,11106,5082081825,American,03/13/2019,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Y,10,A,03/13/2019,06/28/2020,Pre-permit (Operational) / Initial Inspection
50066842,MCDONALD'S,Bronx,2065,JEROME AVENUE,10453,7187332819,Sandwiches/Salads/Mixed Buffet,03/06/2019,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,13,A,03/06/2019,06/28/2020,Cycle Inspection / Initial Inspection
50010254,MCDONALD'S,Queens,22-48,31 STREET,11105,5162560200,Hamburgers,11/29/2018,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,5,A,11/29/2018,06/28/2020,Cycle Inspection / Re-inspection
41110540,PIZZA CENTRAL OF BROOKLYN,Brooklyn,941,MCDONALD AVENUE,11218,7186330600,Pizza,08/29/2017,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,N,7,A,08/29/2017,06/28/2020,Cycle Inspection / Re-inspection
40736385,MCDONALD'S,Brooklyn,2797,LINDEN BOULEVARD,11208,7188274227,Hamburgers,09/04/2018,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,N,75,,,06/28/2020,Cycle Inspection / Initial Inspection
50091429,LOS CHOCOMILES,Brooklyn,976,MCDONALD AVENUE,11230,9292108535,Mexican,06/17/2019,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,47,,,06/28/2020,Pre-permit (Operational) / Re-inspection
